WKT,osm_id,amenity,name
POINT (36.876210273215207 -1.316269312404131),1432508012,pharmacy,Mara health centre
POINT (36.87651965299905 -1.315112317935515),1432508000,pharmacy,MASCO medical clinic
POINT (36.875734255946149 -1.314164934577963),1432508035,pharmacy,P.M.C. medical clinic
POINT (36.870753816347928 -1.311725301783251),1999653263,hospital,Melihelp medical centre
POINT (36.873716190660367 -1.310398388413883),949598044,hospital,St. Andrews Laboratory & Clinic
POINT (36.874721046137182 -1.310134442584352),1446059245,pharmacy,Flodo medical clinic
POINT (36.875726710097759 -1.309885045631747),1446059335,pharmacy,Riders medical centre
POINT (36.876175508413709 -1.309779610974528),1446059307,pharmacy,Chemist
POINT (36.876571665454001 -1.309698244873179),5704419905,pharmacy,King'ori's chemist
POINT (36.877599787296674 -1.309508660050586),1446059252,pharmacy,Medical clinic
POINT (36.878457408898427 -1.309341976272414),5594850571,clinic,Access Afya Medical Clinic
